Index,Number of steady states,Number of initial conditions,AHR,NFIC,FOS,KLF4,FOXF1,JUN,SMAD3,MITF,SMAD4,MAFB,NR3C1,NR2F1,STAT5A,TBX3,TFE3,ETV5,TFAP2A,Cluster
8974,4,17,4.916228,6.291872,-8.7844,-2.81421,-0.051374,-6.661741,3.304804,-11.540372,1.789706,6.318129,2.817434,0.405331,-3.968933,-6.902838,-1.299642,-8.501686,0.716369,3
9437,4,19,-3.77859,-4.18165,3.07506,-19.597256,4.089252,-9.634636,-17.066609,4.376955,8.355868,1.429908,-10.027531,-12.191824,7.630758,-12.668003,-8.843524,7.47647,1.70258,2
9437,4,73,0.723476,7.54646,-8.138365,7.855834,8.664502,8.225302,7.720141,-19.22335,2.314178,5.974325,11.390054,7.384153,-4.25211,6.278395,4.679961,-8.88961,1.233875,4
9437,4,4,0.71698,2.194307,-1.806905,-13.328868,4.089252,-11.828429,0.990682,5.863203,2.324789,5.974322,3.559442,1.627465,7.630758,-9.989982,0.737522,-1.676984,6.724791,3
9437,4,4,-0.91883,0.918255,2.623263,-9.891808,4.089252,-3.157915,-13.370543,-1.250493,8.355642,4.821674,-2.869597,-8.438765,-3.241353,-12.660142,-2.579599,-2.691838,-3.977096,1
9764,4,61,-0.723539,0.136409,1.818795,-18.095156,0.198014,-12.901025,-13.726061,-7.398236,1.614776,-0.020357,-10.446215,-11.922758,-7.185637,-10.172845,-2.005686,-1.41179,-7.282789,1
9764,4,3,1.690597,5.424216,-4.262271,-4.954686,1.293608,-10.297526,2.07478,-4.583342,-1.539672,7.118972,4.343076,1.593751,-7.148813,-5.623896,3.012961,-4.789763,-1.599716,3
9764,4,25,1.691113,5.622304,-4.273377,7.13657,5.273107,3.793106,8.565508,-19.011598,-1.539672,7.120192,10.447488,7.525702,-7.186406,4.797513,6.617441,-5.370436,-1.324829,4
9764,4,11,-4.334769,-3.003993,3.446239,-23.529443,0.198014,-17.333264,-17.685931,2.037776,1.614776,-0.020357,-16.371814,-12.993133,-0.89717,-10.318447,-4.643824,6.532785,-1.284438,2
9970,4,47,3.210031,6.586464,-12.558321,9.871762,6.219034,6.130988,7.013065,-17.472673,-1.245458,5.849544,10.815493,7.614582,-4.14608,6.338637,5.028918,-9.808718,1.262749,4
9970,4,11,2.215961,1.487573,-4.00486,-9.306299,-0.353294,-3.976263,-8.151332,-0.843757,5.145703,-6.150966,-3.64006,-4.374097,-4.119736,-14.172168,1.975583,-4.729955,3.784703,1
9970,4,39,2.185756,-4.009399,-1.431524,-12.060099,-0.353294,-6.439642,-9.809896,4.729557,5.145703,-6.68896,-5.17044,-9.757965,6.220116,-14.211024,-4.568782,7.474609,3.769865,2
9970,4,3,3.210029,6.565657,-9.862149,-0.761632,1.515709,-4.946404,2.544546,-1.711611,-1.217515,5.493156,4.556761,2.606155,-4.14536,-3.35871,3.025353,-9.46379,7.687697,3
